id,uniprot,gene,chrom,start,end
K16812,F4I2H7,AT1G03780,,,
K07466,Q9ZWA3,AT1G03810,,,
K17081,Q9ZNT7,AT1G03860,,,
K12608,Q3EDJ0,AT1G03905,,,
K12192,Q941D5,AT1G03950,,,
K11583,Q84JI6,AT1G03960,,,
K14432,Q2HIT6,AT1G03970,,,
K05941,Q9ZWB7,AT1G03980,,,
K17756,Q9ZWB9,AT1G03990,,,
K10683,F4I443,AT1G04020,,,
K13217,F4I450,AT1G04080,,,
K14484,Q38828,AT1G04100,,,
K17985,Q94C94,AT1G04140,,,
K03242,O64490,AT1G04170,,,
K11816,O64489,AT1G04180,,,
K02958,F4I472,AT1G04270,,,
K17362,P93828,AT1G04290,,,
K14509,P93825,AT1G04310,,,
K12119,Q96524,AT1G04400,,,
K00025,P93819,AT1G04410,,,
K00924,Q5XF24,AT1G04440,,,
K02894,Q1H559,AT1G04480,,,
K10599,F4I5P3,AT1G04510,,,
K18010,Q8GS60,AT1G04620,,,
K11353,Q8RWA7,AT1G04630,,,
K03537,Q6AWV1,AT1G04635,,,
K03801,Q9SXP7,AT1G04640,,,
K01728,Q940Q1,AT1G04680,,,
K07513,Q8LF48,AT1G04710,,,
K11269,F4I5S3,AT1G04730,,,
K08511,Q9MAS5,AT1G04760,,,
K03032,Q9MAT0,AT1G04810,,,
K07374,Q0WV25,AT1G04820,,,
K11844,Q8W4N3,AT1G04860,,,
K11434,Q9MAT5,AT1G04870,,,
K00696,W8PW44,AT1G04920,,,
K03131,Q9MAU3,AT1G04950,,,
K09584,Q9MAU6,AT1G04980,,,
K18045,F4I780,AT1G05000,,,
K05933,Q06588,AT1G05010,,,
K03142,Q9ZVN9,AT1G05055,,,
K04123,Q0WPQ3,AT1G05160,,,
K04532,F4I7A4,AT1G05180,,,
K02933,O23049,AT1G05190,,,
K05387,Q8GXJ4,AT1G05200,,,
K00430,Q67Z07,AT1G05240,,,
K14709,O23039,AT1G05300,,,
K12164,O23034,AT1G05350,,,
K18422,Q8GYD9,AT1G05460,,,
K10875,F4I8S3,AT1G05490,,,
K14006,Q8H0S3,AT1G05520,,,
K13692,W8Q7E6,AT1G05530,,,
K11000,F4I8T3,AT1G05570,,,
K12373,Q9SYK0,AT1G05590,,,
K00975,F4I8U2,AT1G05610,,,
K11968,Q84RQ9,AT1G05880,,,
K10773,B9DFZ0,AT1G05900,,,
K13448,Q9LNE7,AT1G05990,,,
K00847,Q9LNE4,AT1G06020,,,
#N/A,O65797,AT1G06080,,,
K10290,Q9LND7,AT1G06110,,,
K01069,Q8LDW8,AT1G06130,,,
K12852,Q9LNC5,AT1G06220,,,
K00232,P0CZ23,AT1G06290,,,
K14775,Q9LMI1,AT1G06380,,,
K16055,Q9LMI0,AT1G06410,,,
K03798,Q8W585,AT1G06430,,,
K12581,Q9SHJ0,AT1G06450,,,
K15280,Q8H184,AT1G06470,,,
K05605,Q9SHJ8,AT1G06550,,,
K00457,F4IDP2,AT1G06570,,,
K03352,Q8H1U4,AT1G06590,,,
K02717,Q42029,AT1G06680,,,
K13436,Q8H1G6,AT1G06700,,,
K14569,F4IDR3,AT1G06720,,,
K11275,P26568,AT1G06760,,,
K16277,Q9M9Y4,AT1G06770,,,
K13648,F4IDS0,AT1G06780,,,
K03022,Q9M9Y6,AT1G06790,,,
K09835,Q9M9Y8,AT1G06820,,,
K03100,Q9M9Z2,AT1G06870,,,
K15285,Q8RXL8,AT1G06890,,,
K01411,F4HNU6,AT1G06900,,,
K07195,Q9LMJ4,AT1G07000,,,
K15113,Q8L6Z2,AT1G07030,,,
K02917,Q9LMK0,AT1G07070,,,
K01103,Q9MB58,AT1G07110,,,
K15306,Q9LMK7,AT1G07140,,,
K12834,Q0WMV8,AT1G07170,,,
K17871,Q8GWA1,AT1G07180,,,
K01114,Q8L7Y9,AT1G07230,,,
K02213,Q8W032,AT1G07270,,,
K15356,Q84L09,AT1G07290,,,
K02926,Q2V4Q4,AT1G07320,,,
K12872,Q9LNV5,AT1G07360,,,
K04802,Q9M7Q7,AT1G07370,,,
K12349,F4HQM3,AT1G07380,,,
K13993,Q9LNW0,AT1G07400,,,
K14424,Q8VWZ8,AT1G07420,,,
K14497,Q9LNW3,AT1G07430,,,
K08081,Q8RX32,AT1G07450,,,
K03122,Q93VP4,AT1G07470,,,
K08956,Q8VZI8,AT1G07510,,,
K11254,A8MRV1,AT1G07660,,,
K01537,Q9XES1,AT1G07670,,,
K12605,A8MR45,AT1G07705,,,
K10871,A8MSF8,AT1G07745,,,
K02957,P42798,AT1G07770,,,
K01817,B3H4J9,AT1G07780,,,
K11252,Q9LQQ4,AT1G07790,,,
K17428,Q94JQ7,AT1G07830,,,
K14765,Q9LQQ6,AT1G07840,,,
K04371,Q9LQQ9,AT1G07880,,,
K00434,Q05431,AT1G07890,,,
K03231,Q8W4H7,AT1G07920,,,
K15139,Q8LCH5,AT1G07950,,,
K15501,Q8L7T5,AT1G07990,,,
K01674,F4HUC4,AT1G08065,,,
K02575,O82811,AT1G08090,,,
K01759,Q8H0V3,AT1G08110,,,
K10747,Q42572,AT1G08130,,,
K12449,Q9SGE0,AT1G08200,,,
K18192,Q5XEN3,AT1G08220,,,
K05359,Q9SGD6,AT1G08250,,,
K02324,F4HW04,AT1G08260,,,
K12196,Q9SGD4,AT1G08270,,,
K14431,Q56W43,AT1G08320,,,
K02865,Q8VZB9,AT1G08360,,,
K12611,Q9SJF3,AT1G08370,,,
K14332,Q949Q5,AT1G08380,,,
K15365,Q8RX36,AT1G08390,,,
K14539,Q9SJF1,AT1G08410,,,
K08057,F4HW30,AT1G08450,,,
K11717,Q93WX6,AT1G08490,,,
K10781,Q9SJE2,AT1G08510,,,
K03404,Q9SJE1,AT1G08520,,,
K09839,Q39249,AT1G08550,,,
K08486,Q42374,AT1G08560,,,
K10779,F4HW51,AT1G08600,,,
K11446,C0SUT9,AT1G08620,,,
K01620,Q8RXU4,AT1G08630,,,
K04505,Q0V7S4,AT1G08700,,,
K05290,Q8GYI6,AT1G08750,,,
K09550,Q9M4B5,AT1G08780,,,
K04565,P24704,AT1G08830,,,
K10742,F4HXR6,AT1G08840,,,
K11251,O04848,AT1G08880,,,
K04706,F4HXS5,AT1G08910,,,
K18577,Q75W54,AT1G09010,,,
K15601,F4HZD1,AT1G09060,,,
K09490,Q8H1B3,AT1G09080,,,
K03065,O04019,AT1G09100,,,
K07575,Q8L7N2,AT1G09150,,,
K10406,F4HZF0,AT1G09170,,,
K13157,Q8RWV8,AT1G09230,,,
K05953,O80483,AT1G09240,,,
K01262,F4HZH0,AT1G09300,,,
K18819,W8PVD7,AT1G09350,,,
K05894,Q8GYA3,AT1G09400,,,
K00036,F4I0Y8,AT1G09420,,,
K01648,O80526,AT1G09430,,,
K16315,O80528,AT1G09450,,,
K12126,O80536,AT1G09530,,,
K12120,P14712,AT1G09570,,,
K02889,Q43291,AT1G09590,,,
K18801,Q6NMK1,AT1G09610,,,
K01869,F4I116,AT1G09620,,,
K07904,O04486,AT1G09630,,,
K03233,C0Z2L8,AT1G09640,,,
K14945,Q8GWR3,AT1G09660,,,
K08596,Q8L7S0,AT1G09730,,,
K11092,P43333,AT1G09760,,,
K12860,P92948,AT1G09770,,,
K15633,O04499,AT1G09780,,,
K00765,Q8GSJ1,AT1G09795,,,
K06173,F4I2L0,AT1G09800,,,
K03505,Q1H568,AT1G09815,,,
K01945,P52420,AT1G09830,,,
K03103,Q941B2,AT1G09870,,,
K18195,O04510,AT1G09880,,,
K02492,P49294,AT1G09940,,,
K15378,Q9FE59,AT1G09960,,,
K00826,B3H7M6,AT1G10060,,,
K14137,O80601,AT1G10095,,,
K12236,Q9SY59,AT1G10170,,,
K20535,Q39021,AT1G10210,,,
K03094,Q9SY65,AT1G10230,,,
K01528,Q9SE83,AT1G10290,,,
K06943,F4I4A6,AT1G10300,,,
K09510,Q9SY77,AT1G10350,,,
K14297,Q8RY25,AT1G10390,,,
K04382,Q07098,AT1G10430,,,
K11644,Q9XIK6,AT1G10450,,,
K14492,Q2HIV3,AT1G10470,,,
K14521,Q9XIK4,AT1G10490,,,
K13628,Q9XIK3,AT1G10500,,,
K03512,Q9FNY4,AT1G10520,,,
K08235,Q8LC45,AT1G10550,,,
K16287,Q8RWN0,AT1G10570,,,
K12816,A4FVN8,AT1G10580,,,
K11866,Q6NKP9,AT1G10600,,,
K07937,Q6ID97,AT1G10630,,,
K19042,B3H4E5,AT1G10650,,,
K12393,Q9SAC9,AT1G10730,,,
K08244,Q9SAC6,AT1G10760,,,
K15744,Q9SAC0,AT1G10830,,,
K03247,Q9C5Z2,AT1G10840,,,
K18178,Q8GWM1,AT1G10865,,,
K12489,Q9SMX5,AT1G10870,,,
K13173,P0CB26,AT1G10890,,,
K10901,Q8L840,AT1G10930,,,
K14498,F4I7B6,AT1G10940,,,
K17087,Q940G0,AT1G10950,,,
K02639,O04090,AT1G10960,,,
K08472,O23693,AT1G11000,,,
K09519,O04087,AT1G11040,,,
K16297,F4I7C9,AT1G11080,,,
K18643,F4I7E1,AT1G11160,,,
K14851,Q8W494,AT1G11240,,,
K08869,F4I8V6,AT1G11390,,,
K14294,Q9LPZ4,AT1G11400,,,
K03007,Q8LFJ6,AT1G11475,,,
K12669,F4I8X8,AT1G11560,,,
K00517,F4I8Y7,AT1G11610,,,
K09489,Q9SAB1,AT1G11660,,,
K03327,Q9SAB0,AT1G11670,,,
K05917,Q9SAA9,AT1G11680,,,
K11778,Q8H0V2,AT1G11755,,,
K10765,Q9SA98,AT1G11780,,,
K19619,Q9SA95,AT1G11800,,,
K00605,O65396,AT1G11860,,,
K01875,Q8RWT8,AT1G11870,,,
K07542,Q6NKT6,AT1G11880,,,
K08517,Q94AU2,AT1G11890,,,
K14009,F4IAJ8,AT1G11905,,,
K08245,O65390,AT1G11910,,,
K06997,Q944L8,AT1G11930,,,
K12158,O65381,AT1G11980,,,
K00895,Q8W4M5,AT1G12000,,,
K01555,Q8RW90,AT1G12050,,,
K13460,Q56YM8,AT1G12220,,,
K00616,F4IC59,AT1G12230,,,
K01193,Q39041,AT1G12240,,,
K07447,F4IC62,AT1G12244,,,
K09553,Q9LNB6,AT1G12270,,,
K01922,Q8GXR5,AT1G12350,,,
K01669,Q9SB00,AT1G12370,,,
K10845,Q6NNM0,AT1G12400,,,
K04569,Q9LD47,AT1G12520,,,
K15919,Q9LE33,AT1G12550,,,
K15277,Q9LDX3,AT1G12600,,,
K13519,F4IDU4,AT1G12640,,,
K14795,Q8W1E4,AT1G12650,,,
K05293,Q94K70,AT1G12730,,,
K01784,Q42605,AT1G12780,,,
K02148,Q9SDS7,AT1G12840,,,
K05298,F4HNZ6,AT1G12900,,,
K11805,Q9LPV9,AT1G12910,,,
K03265,Q9LPV8,AT1G12920,,,
K15436,F4HNZ9,AT1G12930,,,
K02900,Q9LPV3,AT1G12960,,,
K00737,F4HP06,AT1G12990,,,
K13150,Q8RWK8,AT1G13030,,,
K02737,F4HP14,AT1G13060,,,
K18723,Q0WPZ7,AT1G13120,,,
K14856,Q0WVH7,AT1G13160,,,
K18584,Q9SAF1,AT1G13180,,,
K14398,Q9SAF2,AT1G13190,,,
K01530,Q9SAF5,AT1G13210,,,
K09287,Q9ZWM9,AT1G13260,,,
K01265,Q9FV52,AT1G13270,,,
K10525,Q93ZC5,AT1G13280,,,
K03456,F4HQR5,AT1G13320,,,
K08827,F4HQR9,AT1G13350,,,
K00134,F4HQT1,AT1G13440,,,
K11584,Q8LF36,AT1G13460,,,
K00993,O82567,AT1G13560,,,
K01246,F4HSJ2,AT1G13635,,,
K01057,Q9LMX8,AT1G13700,,,
K15456,Q9LMH0,AT1G13870,,,
K18211,Q9LMG8,AT1G13890,,,
K03263,Q9XI91,AT1G13950,,,
K18443,Q42510,AT1G13980,,,
K00592,Q9XI84,AT1G14030,,,
K13681,W8QPA3,AT1G14080,,,
K15112,Q9XI74,AT1G14140,,,
K08901,Q9XI73,AT1G14150,,,
K21444,B9DH46,AT1G14170,,,
K01166,F4HUG9,AT1G14210,,,
K01510,Q8H1D8,AT1G14230,,,
K07052,Q8RX00,AT1G14270,,,
K04713,Q9AST3,AT1G14290,,,
K02866,Q93VT9,AT1G14320,,,
K15275,Q9M9S6,AT1G14360,,,
K10573,P25865,AT1G14400,,,
K00469,F4HW72,AT1G14520,,,
K01873,P93736,AT1G14610,,,
K17427,F4HW90,AT1G14620,,,
K12825,F4HW92,AT1G14640,,,
K16732,Q8L836,AT1G14690,,,
K14379,Q8H129,AT1G14700,,,
K08360,Q67ZF6,AT1G14730,,,
K11699,Q9LQV2,AT1G14790,,,
K00133,Q8VYI4,AT1G14810,,,
K14312,F4HXV6,AT1G14850,,,
K14494,Q9LQT8,AT1G14920,,,
K04078,P34893,AT1G14980,,,
K09645,Q9M9Q6,AT1G15000,,,
K10758,Q8W4J3,AT1G15020,,,
K16282,Q9ZT50,AT1G15100,,,
K08730,F4HXY6,AT1G15110,,,
K00416,F4HXY8,AT1G15120,,,
K12200,F4HXZ1,AT1G15130,,,
K13114,F4HZI6,AT1G15200,,,
K17925,F4HZJ6,AT1G15240,,,
K02922,Q8LFH7,AT1G15250,,,
K03106,Q56XJ0,AT1G15310,,,
K01462,Q9FV53,AT1G15390,,,
K14546,Q8L403,AT1G15420,,,
K14558,Q8VYZ5,AT1G15440,,,
K13137,Q9XI22,AT1G15470,,,
K03301,P92935,AT1G15500,,,
K04124,Q39103,AT1G15550,,,
K06627,Q38819,AT1G15570,,,
K02115,Q01909,AT1G15700,,,
K15227,Q9LMR3,AT1G15710,,,
K14972,F4I171,AT1G15780,,,
K08917,Q9LMQ2,AT1G15820,,,
K14298,Q9LMQ0,AT1G15850,,,
K17824,Q7XJ64,AT1G15860,,,
K08495,Q9LMP7,AT1G15880,,,
K02951,Q9S9P1,AT1G15930,,,
K09753,A8MQW5,AT1G15950,,,
K16075,Q9S9N4,AT1G16010,,,
K03283,Q9S9N1,AT1G16030,,,
K05287,Q8GWH6,AT1G16040,,,
K09285,Q94AN4,AT1G16060,,,
K10839,Q84L32,AT1G16190,,,
K08503,F4I2U7,AT1G16225,,,
K14778,Q9SA27,AT1G16280,,,
K05868,Q9SA32,AT1G16330,,,
K01627,Q6NQL4,AT1G16340,,,
K00088,Q9SA34,AT1G16350,,,
K12155,Q9FUY7,AT1G16400,,,
K12154,Q949U1,AT1G16410,,,
K01011,Q24JL3,AT1G16460,,,
K02726,O23708,AT1G16470,,,
K14488,Q9SA49,AT1G16510,,,
K15631,Q9C5X8,AT1G16540,,,
K03842,Q8L7M0,AT1G16570,,,
K13728,Q94FL5,AT1G16590,,,
K14325,Q9SEE9,AT1G16610,,,
K09534,F4I4I3,AT1G16680,,,
K11322,Q9FX82,AT1G16690,,,
K03941,Q9FX83,AT1G16700,,,
K04498,F4I4I8,AT1G16710,,,
K02887,Q8LCN1,AT1G16740,,,
K10706,F4I5Z7,AT1G16800,,,
K13120,Q9FZ43,AT1G16810,,,
K17408,Q8W4K2,AT1G16870,,,
K10580,F4I615,AT1G16890,,,
K03846,W8QPA0,AT1G16900,,,
K10884,Q9FQ08,AT1G16970,,,
K05356,Q76FS5,AT1G17050,,,
K15638,Q9SHG5,AT1G17060,,,
K13103,Q9SHG6,AT1G17070,,,
K11855,F4I642,AT1G17110,,,
K00852,A8MQX7,AT1G17160,,,
K02519,Q9SHI1,AT1G17220,,,
K01535,Q43128,AT1G17260,,,
K03691,Q84WU0,AT1G17270,,,
K04554,Q9SHI7,AT1G17280,,,
K00814,F4I7I0,AT1G17290,,,
K06950,Q8GUM8,AT1G17330,,,
K13201,B3H4Q3,AT1G17370,,,
K13464,Q9LDU5,AT1G17380,,,
K20790,Q6NLG3,AT1G17410,,,
K00454,Q9LNR3,AT1G17420,,,
K03126,Q940A7,AT1G17440,,,
K15199,F4I7J9,AT1G17450,,,
K17794,Q9LNQ1,AT1G17530,,,
K02874,Q84JG5,AT1G17560,,,
K08064,Q9LNP6,AT1G17590,,,
K12741,F4I906,AT1G17640,,,
K18121,F4I907,AT1G17650,,,
K15201,Q8GUP0,AT1G17680,,,
K14774,Q8H1E7,AT1G17690,,,
K13248,Q9FZ62,AT1G17710,,,
K04354,Q39247,AT1G17720,,,
K12197,Q8LE58,AT1G17730,,,
K00058,O04130,AT1G17745,,,
K14408,Q8GUP1,AT1G17760,,,
K11420,Q9C5P1,AT1G17770,,,
K09873,O22588,AT1G17810,,,
K01527,Q9SMW7,AT1G17880,,,
K02377,Q9LMU0,AT1G17890,,,
K09338,Q9LMT8,AT1G17920,,,
K01868,Q8GZ45,AT1G17960,,,
K14376,Q9LMT2,AT1G17980,,,
K17500,Q9LMT1,AT1G18030,,,
K02202,Q9LMT0,AT1G18040,,,
K03267,Q8L835,AT1G18070,,,
K14753,O24456,AT1G18080,,,
K10746,Q94A33,AT1G18090,,,
K05909,Q9LMS3,AT1G18140,,,
K14026,Q9LM25,AT1G18260,,,
K03143,Q8LF41,AT1G18340,,,
K11498,Q8S905,AT1G18370,,,
K01056,Q8GW64,AT1G18440,,,
K11340,Q84M92,AT1G18450,,,
K10712,Q1G3U6,AT1G18490,,,
K01649,Q9LPR4,AT1G18500,,,
K02934,Q9FZ76,AT1G18540,,,
K10401,F4ICA0,AT1G18550,,,
K01079,O82796,AT1G18640,,,
K11290,Q8LC68,AT1G18800,,,
K14005,F4ICD9,AT1G18830,,,
K02552,Q9M9V6,AT1G18870,,,
K13412,Q9M9V8,AT1G18890,,,
K15340,F4IDZ7,AT1G19025,,,
K10734,Q6NNH6,AT1G19080,,,
K12620,Q945P8,AT1G19120,,,
K09705,Q8GYZ3,AT1G19130,,,
K18587,Q9LMB2,AT1G19140,,,
K08908,Q8LCQ4,AT1G19150,,,
K13447,O81211,AT1G19230,,,
K00485,Q9LMA1,AT1G19250,,,
K17964,Q9LN69,AT1G19290,,,
K10666,Q9LN67,AT1G19310,,,
K14503,Q9LN63,AT1G19350,,,
K01247,Q56YU8,AT1G19480,,,
K15200,F4HP69,AT1G19485,,,
K08241,Q9AR07,AT1G19640,,,
K08099,O22527,AT1G19670,,,
K10570,F4HQX6,AT1G19750,,,
K14486,P93024,AT1G19850,,,
K02155,Q24JM2,AT1G19910,,,
K13811,Q43870,AT1G19920,,,
K03135,F4HR03,AT1G20000,,,
K07375,P29513,AT1G20010,,,
K02641,Q8W493,AT1G20020,,,
K01824,Q0WRA8,AT1G20050,,,
K04392,Q38919,AT1G20090,,,
K03033,Q9LNU4,AT1G20200,,,
K02147,Q8W4E2,AT1G20260,,,
K00472,Q9LN20,AT1G20270,,,
K08242,Q39227,AT1G20330,,,
K02638,P42699,AT1G20340,,,
K17795,Q9LN27,AT1G20350,,,
K01322,F4HSS5,AT1G20380,,,
K07583,F4HSS8,AT1G20410,,,
K10526,Q84P21,AT1G20510,,,
K16572,F4HUK8,AT1G20570,,,
K00721,Q9LM93,AT1G20575,,,
K11088,Q9LM92,AT1G20580,,,
K03781,Q2V4M4,AT1G20620,,,
K11723,Q9LM88,AT1G20670,,,
K15362,F4HUN4,AT1G20720,,,
K01802,Q9LM71,AT1G20810,,,
K16290,Q9LM66,AT1G20850,,,
K08176,Q9SYQ1,AT1G20860,,,
K12811,Q8H0U8,AT1G20920,,,
K07760,Q8LG64,AT1G20930,,,
K12854,Q9SYP1,AT1G20960,,,
K15032,Q3ED83,AT1G21150,,,
K03243,C0SUW8,AT1G21160,,,
K17637,F4HWE6,AT1G21170,,,
K12622,Q9LMN4,AT1G21190,,,
K00166,Q9LPL5,AT1G21400,,,
K03875,Q9LPL4,AT1G21410,,,
K15382,Q8L9J7,AT1G21460,,,
K00858,F4HY34,AT1G21640,,,
K03070,F4HY36,AT1G21650,,,
K10755,F4HY45,AT1G21690,,,
K11649,Q9XI07,AT1G21700,,,
K03660,Q9FNY7,AT1G21710,,,
K02735,Q9XI05,AT1G21720,,,
K09580,Q9XI01,AT1G21750,,,
K10295,Q9XI00,AT1G21760,,,
K00600,Q9LM59,AT1G22020,,,
K10572,Q1PFT7,AT1G22100,,,
K17470,Q9FEP7,AT1G22150,,,
K01834,Q9LM13,AT1G22170,,,
K01087,F4I1A6,AT1G22210,,,
K15448,Q8LFJ5,AT1G22270,,,
K06630,P48347,AT1G22300,,,
K01626,Q9SK84,AT1G22410,,,
K00121,Q9SK86,AT1G22430,,,
K02267,Q9S7L9,AT1G22450,,,
K10664,Q9SK92,AT1G22500,,,
K17784,F4I1E5,AT1G22520,,,
K15692,F4I2Y3,AT1G22670,,,
K07897,O04157,AT1G22740,,,
K13126,O64380,AT1G22760,,,
K12124,Q9SQI2,AT1G22770,,,
K02964,Q5PNZ9,AT1G22780,,,
K18162,Q0WSC3,AT1G22800,,,
K08738,B3H4Y9,AT1G22840,,,
K17541,F4I313,AT1G22870,,,
K09613,Q8LAZ7,AT1G22920,,,
K14153,Q5M731,AT1G22940,,,
K13947,A8MQX0,AT1G23080,,,
K17471,Q9SXS2,AT1G23090,,,
K14487,O49301,AT1G23160,,,
K01835,O49299,AT1G23190,,,
K10418,Q9LR39,AT1G23220,,,
K15166,F4I4P3,AT1G23230,,,
K17991,B3H7A9,AT1G23240,,,
K10704,Q93YP0,AT1G23260,,,
K14831,F4I4Q1,AT1G23280,,,
K14272,Q9LR30,AT1G23310,,,
K16903,Q9LR29,AT1G23320,,,
K03183,Q3ED65,AT1G23360,,,
K02977,P59271,AT1G23410,,,
K01304,Q9C5G6,AT1G23440,,,
K09647,A0JPV6,AT1G23465,,,
K01673,Q9ZUC2,AT1G23730,,,
K18980,Q9ZUC1,AT1G23740,,,
K10293,Q9ZUB9,AT1G23770,,,
K00128,Q8S528,AT1G23800,,,
K00797,Q9ZUB3,AT1G23820,,,
K12896,O81127,AT1G23860,,,
K12391,Q84K16,AT1G23900,,,
K11820,W8PVB1,AT1G24100,,,
K07478,O48696,AT1G24290,,,
K14308,Q8GYF7,AT1G24310,,,
K01228,Q84M89,AT1G24320,,,
K00059,P33207,AT1G24360,,,
K03217,F4I9A9,AT1G24490,,,
K09497,O04450,AT1G24510,,,
K16285,Q6GKW2,AT1G24580,,,
K12879,F4IAT2,AT1G24706,,,
K00588,F4IAT4,AT1G24735,,,
K02535,F4IAT8,AT1G24793,,,
K01658,Q9FXK1,AT1G24807,,,
K14815,Q94AK8,AT1G25260,,,
K01886,F4ICG2,AT1G25350,,,
K15115,Q8RWA5,AT1G25380,,,
K10760,Q9C6L1,AT1G25410,,,
K19476,Q9C6L2,AT1G25420,,,
K15168,Q7XYY2,AT1G25540,,,
K13115,Q9C609,AT1G25682,,,
K18749,Q9C658,AT1G26110,,,
K07023,Q93ZV1,AT1G26160,,,
K04077,Q9C667,AT1G26230,,,
K09264,Q39081,AT1G26310,,,
K08070,F4IE59,AT1G26320,,,
K18635,B3H4F1,AT1G26355,,,
K12818,F4IE66,AT1G26370,,,
K14566,F4HP91,AT1G26530,,,
K09579,Q9FE18,AT1G26550,,,
K00012,Q9FZE1,AT1G26570,,,
K15151,F4HPA7,AT1G26665,,,
K08493,Q9SEL5,AT1G26670,,,
K02911,Q944L5,AT1G26740,,,
K17402,F4HPB7,AT1G26750,,,
K14413,W8Q3R0,AT1G26810,,,
K03869,Q9ZVH4,AT1G26830,,,
K02608,Q9ZVH3,AT1G26840,,,
K02915,A8MR50,AT1G26880,,,
K14489,Q9C5U1,AT1G27320,,,
K02880,Q93VI3,AT1G27400,,,
K15341,Q9FZJ4,AT1G27410,,,
K00759,F4HSX1,AT1G27450,,,
K14548,Q8VYS4,AT1G27470,,,
K10084,Q9SXC9,AT1G27520,,,
K12165,Q9SXC8,AT1G27530,,,
K06100,Q0WQK1,AT1G27595,,,
K15188,Q8LBC0,AT1G27630,,,
K12836,A8MRI1,AT1G27650,,,
K03129,Q6SJR1,AT1G27720,,,
K18667,B3H6L4,AT1G27752,,,
K10730,Q0WVW7,AT1G27880,,,
K01634,Q9C509,AT1G27980,,,
K12843,Q9C7E7,AT1G28060,,,
K09602,Q8LG98,AT1G28120,,,
K12858,Q9FZ92,AT1G28180,,,
K01866,F4HWL4,AT1G28350,,,
